nombre_poblacion,nombre_provincia,temp_max,hora_temp_max,temp_min,hora_temp_min,precipitacion,fecha
Estaca de Bares,A Coruña,18.3,12:50,15.9,12:50,0.0,2017-10-29
As Pontes,A Coruña,22.4,15:30,8.3,15:30,0.0,2017-10-29
A Coruña,A Coruña,19.7,13:40,14.0,13:40,0.0,2017-10-29
A Coruña Aeropuerto,A Coruña,21.7,16:00,8.5,16:00,0.0,2017-10-29
Carballo, Depuradora,A Coruña,20.5,15:20,5.3,15:20,0.0,2017-10-29
Vimianzo,A Coruña,21.4,13:40,12.1,13:40,0.0,2017-10-29
Fisterra,A Coruña,23.7,01:20,15.3,01:20,0.0,2017-10-29
Mazaricos,A Coruña,23.6,14:10,11.9,14:10,0.0,2017-10-29
Sobrado,A Coruña,22.6,16:30,11.2,16:30,0.0,2017-10-29
Santiago de Compostela Aeropuerto,A Coruña,23.8,16:30,11.6,16:30,0.0,2017-10-29
Noia,A Coruña,25.8,16:20,14.3,16:20,0.0,2017-10-29
Boiro,A Coruña,27.4,17:00,14.6,17:00,0.0,2017-10-29
Padrón,A Coruña,26.8,16:20,13.3,16:20,0.0,2017-10-29
Santiago de Compostela,A Coruña,25.0,15:40,12.9,15:40,0.0,2017-10-29
Rois, Casas do Porto,A Coruña,24.3,16:30,14.5,16:30,0.0,2017-10-29
Villarrobledo,Albacete,23.4,16:40,6.9,16:40,0.0,2017-10-29
Munera,Albacete,21.8,15:50,2.2,15:50,0.0,2017-10-29
Yeste, Embalse Fuensanta,Albacete,25.0,16:30,7.2,16:30,0.0,2017-10-29
Nerpio,Albacete,20.6,15:40,3.5,15:40,0.0,2017-10-29
Yeste,Albacete,22.3,16:40,9.6,16:40,0.0,2017-10-29
Hellín,Albacete,22.5,16:40,12.1,16:40,0.0,2017-10-29
Tobarra,Albacete,22.6,16:50,9.8,16:50,0.0,2017-10-29
Albacete Base Aérea,Albacete,22.0,16:20,4.9,16:20,0.0,2017-10-29
Chinchilla,Albacete,21.7,16:10,7.6,16:10,0.0,2017-10-29
Albacete,Albacete,24.0,16:10,7.0,16:10,0.0,2017-10-29
Alcalá del Júcar,Albacete,25.5,17:00,8.8,17:00,0.0,2017-10-29
Almansa,Albacete,23.3,16:20,6.2,16:20,0.0,2017-10-29
Orihuela,Alacant/Alicante,24.6,14:40,13.4,14:40,0.0,2017-10-29
Pinoso,Alacant/Alicante,20.9,14:40,7.7,14:40,0.0,2017-10-29
Rojales,Alacant/Alicante,24.1,16:10,15.3,16:10,0.0,2017-10-29
Villena,Alacant/Alicante,23.3,15:10,5.9,15:10,0.0,2017-10-29
Novelda,Alacant/Alicante,25.0,14:00,14.0,14:00,0.2,2017-10-29
Elche/Elx,Alacant/Alicante,24.5,12:40,13.8,12:40,0.0,2017-10-29
Alicante-Elche Aeropuerto,Alacant/Alicante,24.5,14:00,15.0,14:00,0.0,2017-10-29
Alicante/Alacant,Alacant/Alicante,24.0,13:00,13.7,13:00,0.0,2017-10-29
Benidorm,Alacant/Alicante,25.0,14:10,15.5,14:10,1.5,2017-10-29
Jávea/ Xàbia,Alacant/Alicante,24.2,13:00,14.3,13:00,0.0,2017-10-29
Pego,Alacant/Alicante,23.7,14:20,16.8,14:20,0.2,2017-10-29
Alcoy/Alcoi,Alacant/Alicante,22.5,13:50,12.4,13:50,0.0,2017-10-29
Vélez Blanco - Topares,Almería,20.4,16:20,9.8,16:20,0.0,2017-10-29
Adra,Almería,24.1,15:40,15.7,15:40,0.0,2017-10-29
El Ejido,Almería,25.4,14:50,14.2,14:50,0.0,2017-10-29
Roquetas de Mar,Almería,24.3,13:10,13.1,13:10,0.0,2017-10-29
Abla,Almería,22.6,15:00,12.4,15:00,0.0,2017-10-29
Almería Aeropuerto,Almería,27.2,15:10,14.6,15:10,0.2,2017-10-29
Cabo de Gata,Almería,23.8,13:50,18.2,13:50,0.0,2017-10-29
Garrucha, Puerto,Almería,23.5,14:10,15.9,14:10,0.0,2017-10-29
Albox,Almería,25.4,15:30,13.3,15:30,0.0,2017-10-29
Huercal Overa,Almería,25.5,14:30,12.0,14:30,0.0,2017-10-29
Aramaio,Araba/Álava,13.0,16:20,9.1,16:20,0.0,2017-10-29
Amurrio,Araba/Álava,17.2,16:10,9.3,16:10,0.0,2017-10-29
